n_1,n_2,y
4.0,5.0,4.26732868951275e-6
4.0,7.0,1.96891956257784e-6
6.0,7.0,1.35292000492517e-5
4.0,6.0,3.01714411254693e-6
6.0,7.0,1.36002624609823e-5
2.0,3.0,7.20724338777889e-7
2.0,5.0,5.82468526629612e-7
2.0,7.0,4.97984939908502e-7
1.0,6.0,7.84443767514457e-8
3.0,5.0,1.39993555192819e-6
2.0,7.0,1.79872970176538e-7
4.0,5.0,7.06248877185110e-6
1.0,2.0,1.51556561939081e-7
3.0,6.0,8.35889577076989e-7
4.0,5.0,5.26659953081480e-6
5.0,6.0,7.42194864435270e-6
1.0,2.0,6.60570158291497e-8
4.0,6.0,3.18842914675435e-6
6.0,7.0,6.21760178804732e-6
2.0,3.0,6.26391392320534e-7
1.0,2.0,1.22153835525547e-7
1.0,3.0,1.02106241404358e-7
1.0,7.0,6.38845130503511e-8
4.0,6.0,3.23610720084368e-6
3.0,4.0,8.89639766747645e-7
5.0,7.0,4.69189052919272e-6
3.0,5.0,1.42431583657075e-6
6.0,7.0,1.35571701314405e-5
4.0,7.0,2.70557327668417e-6
4.0,6.0,2.01680983992016e-6
2.0,7.0,3.42413486349027e-7
4.0,5.0,3.64798952267004e-6
6.0,7.0,1.00016472992663e-5
1.0,7.0,1.26981249776089e-7
2.0,6.0,4.77610935631574e-7
5.0,6.0,5.08647299450617e-6
4.0,6.0,1.42758039709606e-6
3.0,7.0,1.69426460222841e-6
1.0,6.0,1.41425425364274e-7
6.0,7.0,1.81877758940629e-5
6.0,7.0,1.12192797115651e-5
4.0,7.0,1.62466799429725e-6
3.0,6.0,1.18914297616142e-6
5.0,6.0,4.91918710318609e-6
3.0,7.0,1.02196143022298e-6
4.0,7.0,2.21657611366503e-6
1.0,4.0,1.01973471257892e-7
4.0,6.0,2.13185328092655e-6
1.0,4.0,1.19498240531182e-7
1.0,2.0,1.43185724874293e-7
