n_1,n_2,y
4.0,5.0,4.05145345892839e-6
4.0,7.0,2.16568603077263e-6
6.0,7.0,1.23693990603744e-5
4.0,6.0,2.62534184138560e-6
6.0,7.0,1.23693990603744e-5
2.0,3.0,6.56335460346399e-7
2.0,5.0,4.34084299170899e-7
2.0,7.0,3.97042438974982e-7
1.0,6.0,9.37622086209142e-8
3.0,5.0,1.28190519598906e-6
2.0,7.0,3.97042438974982e-7
4.0,5.0,4.05145345892839e-6
1.0,2.0,1.21543603767852e-7
3.0,6.0,1.09389243391067e-6
4.0,5.0,4.05145345892839e-6
5.0,6.0,7.45835750393635e-6
1.0,2.0,1.21543603767852e-7
4.0,6.0,2.62534184138560e-6
6.0,7.0,1.23693990603744e-5
2.0,3.0,6.56335460346399e-7
1.0,2.0,1.21543603767852e-7
1.0,3.0,1.02552415679125e-7
1.0,7.0,9.30568216347615e-8
4.0,6.0,2.62534184138560e-6
3.0,4.0,1.87524417241828e-6
5.0,7.0,4.65284108173807e-6
3.0,5.0,1.28190519598906e-6
6.0,7.0,1.23693990603744e-5
4.0,7.0,2.16568603077263e-6
4.0,6.0,2.62534184138560e-6
2.0,7.0,3.97042438974982e-7
4.0,5.0,4.05145345892839e-6
6.0,7.0,1.23693990603744e-5
1.0,7.0,9.30568216347615e-8
2.0,6.0,4.10209662716500e-7
5.0,6.0,7.45835750393635e-6
4.0,6.0,2.62534184138560e-6
3.0,7.0,1.00501367365542e-6
1.0,6.0,9.37622086209142e-8
6.0,7.0,1.23693990603744e-5
6.0,7.0,1.23693990603744e-5
4.0,7.0,2.16568603077263e-6
3.0,6.0,1.09389243391067e-6
5.0,6.0,7.45835750393635e-6
3.0,7.0,1.00501367365542e-6
4.0,7.0,2.16568603077263e-6
1.0,4.0,9.72348830142814e-8
4.0,6.0,2.62534184138560e-6
1.0,4.0,9.72348830142814e-8
1.0,2.0,1.21543603767852e-7
