n_1,n_2,y
4.0,5.0,4.41124550990232e-6
4.0,7.0,1.83774191711464e-6
6.0,7.0,1.43024007085032e-5
4.0,6.0,3.27834562665448e-6
6.0,7.0,1.44208380613876e-5
2.0,3.0,7.63650257732215e-7
2.0,5.0,6.81391344935421e-7
2.0,7.0,5.65279940530849e-7
1.0,6.0,6.82324888384667e-8
3.0,5.0,1.47862245588761e-6
2.0,7.0,3.50933243109088e-8
4.0,5.0,9.06984564713290e-6
1.0,2.0,1.71565200719900e-7
3.0,6.0,6.63887672521205e-7
4.0,5.0,6.07669691207240e-6
5.0,6.0,7.39767607129693e-6
1.0,2.0,2.90659572033484e-8
4.0,6.0,3.56382068366686e-6
6.0,7.0,2.11640360649589e-6
2.0,3.0,6.06428680303291e-7
1.0,2.0,1.22560656697344e-7
1.0,3.0,1.01808791887847e-7
1.0,7.0,4.44363073274109e-8
4.0,6.0,3.64328410714908e-6
3.0,4.0,2.32570162967218e-7
5.0,7.0,4.71792349416248e-6
3.0,5.0,1.51925626362521e-6
6.0,7.0,1.43490175121512e-5
4.0,7.0,3.06549810729186e-6
4.0,6.0,1.61112183894320e-6
2.0,7.0,3.05994184598389e-7
4.0,5.0,3.37901356516448e-6
6.0,7.0,8.42314612519427e-6
1.0,7.0,1.49597535203641e-7
2.0,6.0,5.22545117574957e-7
5.0,6.0,3.50521665488605e-6
4.0,6.0,6.29072767569705e-7
3.0,7.0,2.15376522127706e-6
1.0,6.0,1.73200903193180e-7
6.0,7.0,2.20666937831885e-5
6.0,7.0,1.04525334790255e-5
4.0,7.0,1.26398930331367e-6
3.0,6.0,1.25264333766193e-6
5.0,6.0,3.22640683601925e-6
3.0,7.0,1.03325993460135e-6
4.0,7.0,2.25050283559329e-6
1.0,4.0,1.05132530086966e-7
4.0,6.0,1.80286090728719e-6
1.0,4.0,1.34340478875782e-7
1.0,2.0,1.57613805611921e-7
