nu,T,y
5412767938301516.0,3881.094715075921,1.99719191978171e-32
8830175651366.816,1696.4421445546866,3.57747083078745e-11
82070507962.13374,284.08818151167566,5.83828103387084e-16
737863203274293.1,3428.3840905169545,1.93530036918327e-10
328732856074.9802,234.08668915575967,7.51307015339334e-15
67813202392.797676,2861.2168913277355,4.04021046899292e-15
36121075971.0846,2229.2620432193344,8.93275307700370e-16
1867744368432.5425,304.1715650890799,2.80325614156407e-13
4734118628.852537,4338.113634170132,2.98702973157448e-17
39795508181.22034,1193.6999011315697,5.80346692828262e-16
4620857761724.763,247.56992685086897,1.00386695097631e-12
53144556585312.22,622.1533223745946,3.73145421546692e-11
2118866018403493.0,783.0082805275688,5.55873596776206e-61
1373697651448914.2,1308.2660532429272,4.97770463179760e-27
317346818984.65137,207.1668671365234,6.17729790192792e-15
16984340221.606134,1952.3805985650572,1.72998725698517e-16
32113990961.205463,132.51695096445428,4.17449316760415e-17
1861813816.794681,510.7936347123271,5.43940893043627e-19
15100530759.83766,4807.0850909429255,3.36748150029293e-16
897927439915.419,137.55264029148563,2.90147381202642e-14
730655792748.4115,2931.6749469429683,4.77983933954809e-13
149723357302555.94,328.1015081576209,1.52490506552104e-17
337996792280904.56,456.10034436515735,2.03994690149913e-22
128185056454404.47,252.10732304400238,7.84363474591520e-19
86703511581.58734,148.41127587282674,3.37994362133165e-16
4080351235.711655,1054.9681708640992,5.39592454027290e-18
72373139654185.58,819.2449207487074,8.17329147779165e-11
30138355248.22008,235.2088635884344,6.54377672213759e-17
4055815865.1541634,282.0628910450291,1.42503087622901e-18
513050555483500.8,287.36880714317937,1.22342387722239e-43
7372922475.849665,3876.001578561805,6.47314265165509e-17
18114403673179.402,436.6143622382481,1.38592549872137e-11
621432086787.4437,372.53355503901844,4.24545520651181e-14
87746963591094.44,5428.239448022873,8.49760864127456e-9
11508211680.16186,2322.621327889015,9.44961635554082e-17
3000303317.8252425,353.5158601112251,9.77512902862608e-19
3971183601.9604883,318.6365721237659,1.54339605763276e-18
3096536403035.831,342.6731964638505,8.06369055635545e-13
1469360970130.3826,1371.7664056248261,8.86743885527713e-13
80534823076054.06,930.5823480873638,1.22937018378705e-10
134670779316986.89,124.11814439537451,8.74041313421962e-31
231499209014.65298,208.80848823528282,3.34744743513861e-15
3121419231091.5225,1103.4734302597815,3.08407574930025e-12
34829099730.87147,115.87667583053144,4.28761823446359e-17
12948396850323.838,1063.7123330830004,4.03376990472507e-11
1201629034.7859817,127.19688084726741,5.64144755685010e-20
203438346302.82855,1456.751106573157,1.84614804597181e-14
1226324587757.5215,415.20128385783875,1.78565425602912e-13
2382962460993289.0,1332.2039412189079,1.04138440596199e-41
2375565368589488.0,5814.877180278403,6.03900508750402e-13
3569828804.732507,317.8016229582038,1.24395750132456e-18
49194507047.04383,1988.4592466973781,1.47762350349941e-15
6097334278072.421,5130.773432675582,5.69496475981174e-11
7186793790.795493,4328.311567652255,6.86820581085703e-17
2888414972.3207374,5701.922415149362,1.46152726311241e-17
489178461599909.9,356.7499620437931,4.54102553771616e-35
44297477452.74482,111.92077243886753,6.68358003382884e-17
77628643743808.8,216.26254308039557,2.27536924444926e-16
190681044836964.6,5376.834709197432,2.27942834121321e-8
365299684752.9517,405.5891935507606,1.62718403708668e-14
1058000351.4297216,2155.2253808576215,7.41192340003664e-19
43117382131529.31,274.8125889796001,6.34812004728527e-13
5398080947663.235,1401.2600250854096,1.14210062804548e-11
73948403659880.2,236.81848750470277,1.84964600704263e-15
54581219762957.836,237.7548989433762,3.93461641344767e-14
40690242420.2223,168.37084719978108,8.51526540911906e-17
77528748576.26788,2714.1898630478886,5.00887022150742e-15
17600693924650.902,4713.124673454432,4.09582468038639e-10
169391245973640.6,732.4632448286495,1.08431228195803e-12
13306239881.502241,1536.5094388840087,8.35655734767363e-17
132006784586890.6,151.61078502823779,2.41356803809499e-26
294601456834.6811,1267.8935575217236,3.36202218972655e-14
2900323646.8166738,5442.371186888326,1.40652434437830e-17
16237520237.345192,1480.0103896472344,1.19856490093885e-16
1994370009138855.2,826.4062281589758,5.86007465198289e-55
11717480480.285187,373.60014854487423,1.57478164328345e-17
44099057161920.586,342.52090659913625,2.62631632571776e-12
305828959292379.7,2041.3759828132695,3.18297745297354e-10
1071666520.0548452,173.7142422168087,6.12861276122315e-20
147200362747374.56,1013.5832550281132,4.42404756463908e-11
3164894149.180511,3027.643902217711,9.31716959252928e-18
23127369263762.42,1044.30299844736,9.62726076318102e-11
1096945950.519747,112.9168910529521,4.17349452313415e-20
4164824904.487692,1897.8345411058517,1.01134817112280e-17
8038130358.579359,159.39586202155493,3.16033564215715e-18
766104806249.2162,1619.2818265805115,2.88689298558851e-13
30736821653464.746,3801.185903444467,9.03063126166454e-10
1119459575654654.5,2773.8885305451963,8.01878543646614e-14
33256251562229.42,3220.7210098221285,8.45527873070048e-10
448497550024431.9,2076.60727423358,4.19160108794359e-11
8913686901.17136,348.33404645167406,8.49797972204889e-18
6941550325.338034,249.7690821221592,3.69516375492228e-18
18503552686.65148,1113.5232064765364,1.17086830611282e-16
401380662691652.0,3308.689393063441,2.83225916281670e-9
