n,T,V,y
26.860298512589043,333.3080245622314,53.25520445058058,1348.11891991895
54.78039597658309,361.11234767009773,88.43661577954265,1913.01979311198
18.091793634253555,369.31948104664684,3.909245902531477,13271.4974496830
20.40963302938674,369.127887340624,49.711567828965556,1186.90203674826
42.24045236918347,390.69260181917537,20.32092681847574,6396.11096372073
1.5325679234501437,324.9384082682534,94.23995764217175,43.2964000865130
37.70101500057765,384.429802868432,67.37674766558773,1728.69811817626
56.285506352571645,390.62030779317615,39.08005361902126,5059.12408201655
8.48241412773432,324.04055678695045,97.52097254184453,243.122897290053
92.57129920297199,317.6095100898287,3.776231593304134,59300.4538242492
85.02893630599858,366.60744718659214,95.69881669835237,2624.75636164518
24.80976956128844,391.8864509809554,62.00779994560564,1257.16662027042
98.13727786471844,382.6010568955447,96.44445009227002,3292.15912000839
19.759484415414818,344.55027071236924,77.73553925772049,722.194185687281
12.315858567082618,335.4862984782769,9.069015090582285,3753.52876007654
68.67391328075979,362.70382048329765,19.854102969082483,10460.8203312859
52.3533345887536,355.5286810873205,46.610470123459116,3058.40510330176
45.4741393891602,347.89104890958765,90.2653240749393,1409.47487167408
27.255282240814605,385.6801693578444,38.88075917228558,2204.14800868604
91.95861306914871,393.42870921499275,34.650937627104256,8374.94638117996
80.62088319207083,343.83550486073733,59.27510451935008,3827.71497823471
37.843518435751584,369.0480326743755,94.02479398906051,1190.29565677093
35.600099248158266,320.7864992920876,92.66493616881196,1012.31615666449
78.26705314168592,336.69616576203777,4.357185104400404,46471.4760348051
23.81521130499625,372.0566368747558,26.11981669617734,2804.19647096352
21.253396748956543,340.6934269764947,80.64294453571597,789.381670691700
49.665223520908484,363.78278992570665,77.2165092952527,2056.32148157004
68.77873379037399,303.8262079991245,41.68067530599685,3985.45912301134
43.09571810434802,342.1703889980545,62.11174202632967,1893.93700166572
17.711756802667857,353.81352200849005,13.438423857744159,3998.56574768337
