n_1,n_2,y
4.0,5.0,4.07304098198683e-6
4.0,7.0,2.14600938395315e-6
6.0,7.0,1.24853791592622e-5
4.0,6.0,2.66452206850173e-6
6.0,7.0,1.24924854004352e-5
2.0,3.0,6.62774348189548e-7
2.0,5.0,4.48922721916770e-7
2.0,7.0,4.07136689068334e-7
1.0,6.0,9.22304254339673e-8
3.0,5.0,1.29370823158297e-6
2.0,7.0,3.75325492095138e-7
4.0,5.0,4.35255699022066e-6
1.0,2.0,1.24544899584975e-7
3.0,6.0,1.06809214822730e-6
4.0,5.0,4.17296806611703e-6
5.0,6.0,7.45471661797799e-6
1.0,2.0,1.15994944973982e-7
4.0,6.0,2.68165057192247e-6
6.0,7.0,1.17542193331417e-5
2.0,3.0,6.53341053543813e-7
1.0,2.0,1.21604626943621e-7
1.0,3.0,1.02507798251648e-7
1.0,7.0,9.01395907763204e-8
4.0,6.0,2.68641837733141e-6
3.0,4.0,1.77668373185122e-6
5.0,7.0,4.65674602648354e-6
3.0,5.0,1.29614626004723e-6
6.0,7.0,1.24881761674811e-5
4.0,7.0,2.21967475536378e-6
4.0,6.0,2.56448864123905e-6
2.0,7.0,3.91579543712387e-7
4.0,5.0,4.01110706530256e-6
6.0,7.0,1.21326238842636e-5
1.0,7.0,9.64492644488942e-8
2.0,6.0,4.16949790008007e-7
5.0,6.0,7.22116905299334e-6
4.0,6.0,2.50556569695664e-6
3.0,7.0,1.07393876651272e-6
1.0,6.0,9.85285302952501e-8
6.0,7.0,1.29512367437433e-5
6.0,7.0,1.22543871254935e-5
4.0,7.0,2.11158422712509e-6
3.0,6.0,1.10341748813574e-6
5.0,6.0,7.20444046386133e-6
3.0,7.0,1.00670844931218e-6
4.0,7.0,2.17077503906187e-6
1.0,4.0,9.77087418386425e-8
4.0,6.0,2.57599298533969e-6
1.0,4.0,9.94612187659714e-8
1.0,2.0,1.23707815878496e-7
