n_1,n_2,y
4.0,5.0,4.15939107422057e-6
4.0,7.0,2.06730279667523e-6
6.0,7.0,1.29492995548131e-5
4.0,6.0,2.82124297696626e-6
6.0,7.0,1.29848307606784e-5
2.0,3.0,6.88529899562144e-7
2.0,5.0,5.08276412900255e-7
2.0,7.0,4.47513689441742e-7
1.0,6.0,8.61032926861799e-8
3.0,5.0,1.34092037395863e-6
2.0,7.0,2.88457704575760e-7
4.0,5.0,5.55697111538974e-6
1.0,2.0,1.36550082853466e-7
3.0,6.0,9.64891005493827e-7
4.0,5.0,4.65902649487159e-6
5.0,6.0,7.44015307414453e-6
1.0,2.0,9.38003097985007e-8
4.0,6.0,2.90688549406997e-6
6.0,7.0,9.29350042421088e-6
2.0,3.0,6.41363426333467e-7
1.0,2.0,1.21848719646699e-7
1.0,3.0,1.02329328541742e-7
1.0,7.0,7.84706673425563e-8
4.0,6.0,2.93072452111464e-6
3.0,4.0,1.38244196958296e-6
5.0,7.0,4.67236580546540e-6
3.0,5.0,1.35311051627990e-6
6.0,7.0,1.29632845959075e-5
4.0,7.0,2.43562965372840e-6
4.0,6.0,2.32107584065288e-6
2.0,7.0,3.69727962662004e-7
4.0,5.0,3.84972149079922e-6
6.0,7.0,1.11855231798204e-5
1.0,7.0,1.10019035705425e-7
2.0,6.0,4.43910299174037e-7
5.0,6.0,6.27241524922126e-6
4.0,6.0,2.02646111924083e-6
3.0,7.0,1.34963913794192e-6
1.0,6.0,1.17593816992594e-7
6.0,7.0,1.52785874772187e-5
6.0,7.0,1.17943393859698e-5
4.0,7.0,1.89517701253494e-6
3.0,6.0,1.14151770503605e-6
5.0,6.0,6.18877230356122e-6
3.0,7.0,1.01348755193920e-6
4.0,7.0,2.19113107221883e-6
1.0,4.0,9.96041771360868e-8
4.0,6.0,2.37859756115608e-6
1.0,4.0,1.08366561772732e-7
1.0,2.0,1.32364664321072e-7
