L,y
345480919.47919995,1.27961681410836e-12
56391912.152776286,4.34339688595861e-11
1107878.0035562573,5.84953397767597e-9
92513800.54416065,1.76349220230952e-11
7194526.310717806,4.81381763150013e-10
4033265.4877805924,1.06043226900967e-9
16637024.37312621,2.39513984007816e-10
2880395519.890008,3.98643043623347e-18
73856807.51518553,2.42801339052201e-11
193436814.56583145,3.19034441608910e-12
1062832.0777934375,5.38475427826440e-9
1439401536.6055944,2.44856202862213e-15
1109009583.401117,1.39529265604423e-14
17907430.2276206,2.01748204672468e-10
746902337.7434871,1.06866500915396e-13
3715699.97428111,1.04704647514863e-9
6248190.156704838,5.43844458926730e-10
349607351.72939414,1.32718478076854e-12
2975868.7202967433,1.69522042222907e-9
3833104.3938359125,1.26381408036314e-9
2110828.912646358,2.59738123333132e-9
75957990.95384303,2.59628431380255e-11
241127016.37592155,3.82971033672438e-12
4246433.352569745,9.61291961101693e-10
3271851.0845194254,1.62572427195711e-9
536769200.74933624,4.28669642668457e-13
339314374.55283046,1.34860311252413e-12
