L,y
345480919.47919995,1.08614381022679e-12
56391912.152776286,5.58245995336917e-11
1107878.0035562573,7.10249493684989e-9
92513800.54416065,1.62786603534964e-11
7194526.310717806,3.23178600580284e-10
4033265.4877805924,9.35811146457011e-10
16637024.37312621,3.47145207007540e-10
2880395519.890008,3.43682037508962e-18
73856807.51518553,2.09237654974481e-11
193436814.56583145,1.07974626807190e-12
1062832.0777934375,4.91778710005457e-9
1439401536.6055944,9.46150479035903e-16
1109009583.401117,9.51625250863543e-15
17907430.2276206,2.61489617762880e-10
746902337.7434871,1.03189380293899e-13
3715699.97428111,6.18771530030146e-10
6248190.156704838,2.89339348301349e-10
349607351.72939414,1.34098891438437e-12
2975868.7202967433,1.89159347029113e-9
3833104.3938359125,1.44784038437747e-9
2110828.912646358,2.96175020909291e-9
75957990.95384303,2.90049015789913e-11
241127016.37592155,5.33518116026661e-12
4246433.352569745,7.63188398610780e-10
3271851.0845194254,2.06820179280744e-9
536769200.74933624,5.57160626344102e-13
339314374.55283046,1.16550934567507e-12
