n_1,n_2,y
4.0,5.0,4.12341186912318e-6
4.0,7.0,2.10009720804103e-6
6.0,7.0,1.27559993900002e-5
4.0,6.0,2.75594259843937e-6
6.0,7.0,1.27796868605771e-5
2.0,3.0,6.77798419823562e-7
2.0,5.0,4.83545708323803e-7
2.0,7.0,4.30689939286156e-7
1.0,6.0,8.86562646644247e-8
3.0,5.0,1.32124864796877e-6
2.0,7.0,3.24652616042168e-7
4.0,5.0,5.05513189656929e-6
1.0,2.0,1.31547923158261e-7
3.0,6.0,1.00789148163277e-6
4.0,5.0,4.45650214955719e-6
5.0,6.0,7.44622121740847e-6
1.0,2.0,1.03048074454951e-7
4.0,6.0,2.81303760984185e-6
6.0,7.0,1.03187999695987e-5
2.0,3.0,6.46354104337778e-7
1.0,2.0,1.21747014353750e-7
1.0,3.0,1.02403690920869e-7
1.0,7.0,8.33327187732914e-8
4.0,6.0,2.82893029453829e-6
3.0,4.0,1.54670937052807e-6
5.0,7.0,4.66585756422295e-6
3.0,5.0,1.32937540951629e-6
6.0,7.0,1.27653227507298e-5
4.0,7.0,2.34564844607648e-6
4.0,6.0,2.42249784089712e-6
2.0,7.0,3.78832788099664e-7
4.0,5.0,3.91696548017561e-6
6.0,7.0,1.15801484733384e-5
1.0,7.0,1.04364964348537e-7
2.0,6.0,4.32676753688191e-7
5.0,6.0,6.66772933412629e-6
4.0,6.0,2.22608802662242e-6
3.0,7.0,1.23476398317975e-6
1.0,6.0,1.09649947535367e-7
6.0,7.0,1.43088580049373e-5
6.0,7.0,1.19860259441047e-5
4.0,7.0,1.98534668528084e-6
3.0,6.0,1.12564261466092e-6
5.0,6.0,6.61196737035293e-6
3.0,7.0,1.01066292584461e-6
4.0,7.0,2.18264939173676e-6
1.0,4.0,9.88144124288183e-8
4.0,6.0,2.46084565456592e-6
1.0,4.0,1.04656002186582e-7
1.0,2.0,1.28757644136666e-7
