L,y
345480919.47919995,1.33489481521738e-12
56391912.152776286,3.98937886669845e-11
1107878.0035562573,5.49154513219771e-9
92513800.54416065,1.80224253572663e-11
7194526.310717806,5.26582666741365e-10
4033265.4877805924,1.09603830402472e-9
16637024.37312621,2.08762206007895e-10
2880395519.890008,4.14346188227457e-18
73856807.51518553,2.52390963074407e-11
193436814.56583145,4.41037032584938e-12
1062832.0777934375,5.51817347203864e-9
1439401536.6055944,2.87782247136105e-15
1109009583.401117,1.52205477181014e-14
17907430.2276206,1.84679229503780e-10
746902337.7434871,1.07917106807252e-13
3715699.97428111,1.16941074518248e-9
6248190.156704838,6.16560204819696e-10
349607351.72939414,1.32324074259259e-12
2975868.7202967433,1.63911383706848e-9
3833104.3938359125,1.21123513635905e-9
2110828.912646358,2.49327581168515e-9
75957990.95384303,2.50936835834638e-11
241127016.37592155,3.39957581571231e-12
4246433.352569745,1.01789297895624e-9
3271851.0845194254,1.49930212314273e-9
536769200.74933624,3.91957933046845e-13
339314374.55283046,1.40091561733815e-12
