L,y
345480919.47919995,1.30725581466287e-12
56391912.152776286,4.16638787632853e-11
1107878.0035562573,5.67053955493684e-9
92513800.54416065,1.78286736901807e-11
7194526.310717806,5.03982214945689e-10
4033265.4877805924,1.07823528651720e-9
16637024.37312621,2.24138095007855e-10
2880395519.890008,4.06494615925402e-18
73856807.51518553,2.47596151063304e-11
193436814.56583145,3.80035737096924e-12
1062832.0777934375,5.45146387515152e-9
1439401536.6055944,2.66319224999159e-15
1109009583.401117,1.45867371392719e-14
17907430.2276206,1.93213717088124e-10
746902337.7434871,1.07391803861324e-13
3715699.97428111,1.10822861016556e-9
6248190.156704838,5.80202331873213e-10
349607351.72939414,1.32521276168057e-12
2975868.7202967433,1.66716712964878e-9
3833104.3938359125,1.23752460836110e-9
2110828.912646358,2.54532852250824e-9
75957990.95384303,2.55282633607447e-11
241127016.37592155,3.61464307621834e-12
4246433.352569745,9.89592470028966e-10
3271851.0845194254,1.56251319754992e-9
536769200.74933624,4.10313787857651e-13
339314374.55283046,1.37475936493114e-12
